"Industry Group ID","Number of Employees Midpoint PCI","Industry Group"
"4331",0.5711341277,"Comercio al por Mayor de Productos Farmacéuticos"
"4332",0.8692023453,"Comercio al por Mayor de Artículos de Perfumería, Cosméticos y Joyería"
"4333",-0.183357076,"Comercio al por Mayor de Discos, Juguetes y Artículos Deportivos"
"4334",1.4746313199,"Comercio al por Mayor de Artículos de Papelería, Libros, Revistas y Periódicos"
"4335",1.0120335292,"Comercio al por Mayor de Electrodomésticos Menores y Aparatos de Línea Blanca"
"4341",-1.4331500755,"Comercio al por Mayor de Materias Primas Agropecuarias y Forestales"
"4342",1.2024532185,"Comercio al por Mayor de Materias Primas para la Industria"
"4343",1.055708043,"Comercio al por Mayor de Materiales de Desecho"
"4351",-0.0904543341,"Comercio al por Mayor de Maquinaria y Equipo Agropecuario, Forestal y para la Pesca"
"4352",1.2007932937,"Comercio al por Mayor de Maquinaria y Equipo para la Industria"
"4353",1.9485408814,"Comercio al por Mayor de Maquinaria y Equipo para los Servicios y para Actividades Comerciales"
"4354",1.3038361769,"Comercio al por Mayor de Mobiliario y Equipo de Cómputo y de Oficina, y de otra Maquinaria y Equipo de Uso General"
"4361",0.7606879595,"Comercio al por Mayor de Camiones y de Partes y Refacciones Nuevas para Automóviles, Camionetas y Camiones"
"4371",1.0258362472,"Intermediación de Comercio al por Mayor, Excepto a Través de Internet y de otros Medios Electrónicos"
"4372",1.2452546705,"Intermediación de Comercio al por Mayor Exclusivamente a Través de Internet y otros Medios Electrónicos"
"4611",-1.8837873826,"Comercio al por Menor de Abarrotes y Alimentos"
"4612",-0.9330213318,"Comercio al por Menor de Bebidas, Hielo y Tabaco"
"4621",-0.0822418299,"Comercio al por Menor en Tiendas de Autoservicio"
"4622",-0.4027665814,"Comercio al por Menor en Tiendas Departamentales"
"4631",-1.1998794919,"Comercio al por Menor de Productos Textiles, Excepto Ropa"
"4632",-0.9448387997,"Comercio al por Menor de Ropa, Bisutería y Accesorios de Vestir"
"4633",-1.8239155133,"Comercio al por Menor de Calzado"
"4641",-1.0005464788,"Comercio al por Menor de Artículos para el Cuidado de la Salud"
"4651",-0.6090796914,"Comercio al por Menor de Artículos de Perfumería y Joyería"
"4652",-0.6585678364,"Comercio al por Menor de Artículos para el Esparcimiento"
"4653",-0.5982544378,"Comercio al por Menor de Artículos de Papelería, Libros, Revistas y Periódicos"
"4659",-1.1309445372,"Comercio al por Menor de Mascotas, Regalos, Artículos Religiosos, Desechables, Artesanías y otros Artículos de Uso Personal"
"4661",0.6414362101,"Comercio al por Menor de Muebles para el Hogar y otros Enseres Domésticos"
"4662",0.5558708356,"Comercio al por Menor de Mobiliario, Equipo y Accesorios de Cómputo, Teléfonos y otros Aparatos de Comunicación"
"4663",-1.1006077338,"Comercio al por Menor de Artículos para la Decoración de Interiores"
"4664",-0.7185974809,"Comercio al por Menor de Artículos Usados"
"4671",-0.4768048612,"Comercio al por Menor de Artículos de Ferretería, Tlapalería y Vidrios"
"4681",0.5864737098,"Comercio al por Menor de Automóviles y Camionetas"
"4682",0.4184796204,"Comercio al por Menor de Partes y Refacciones para Automóviles, Camionetas y Camiones"
"4683",-1.2107669473,"Comercio al por Menor de Motocicletas y otros Vehículos de Motor"
"4684",0.1617002196,"Comercio al por Menor de Combustibles, Aceites y Grasas Lubricantes"
"4691",-0.125144233,"Comercio al por Menor Exclusivamente a Través de Internet, y Catálogos Impresos, Televisión y Similares"
"4811",-0.300437704,"Transporte Aéreo Regular"
"4812",0.2020033986,"Transporte Aéreo no Regular"
"4821",-0.1820926688,"Transporte por Ferrocarril"
"4831",-0.6927494584,"Transporte Marítimo"
"4832",-1.7204600687,"Transporte por Aguas Interiores"
"4841",0.9459194992,"Autotransporte de Carga General"
"4842",-0.292930339,"Autotransporte de Carga Especializado"
"4851",-1.1914928452,"Transporte Colectivo Urbano y Suburbano de Pasajeros de Ruta Fija"
"4852",-1.4579821365,"Transporte Colectivo Foráneo de Pasajeros de Ruta Fija"
"4853",-2.392687566,"Servicio de Taxis y Limusinas"
"4854",1.3177971786,"Transporte Escolar y de Personal"
"4855",-0.6426785914,"Alquiler de Autobuses con Chofer"
"4859",-1.8335646877,"Otro Transporte Terrestre de Pasajeros"
"4862",-0.1639883307,"Transporte de Gas Natural por Ductos"
"4869",0.6181107313,"Transporte por Ductos de otros Productos"
"4871",-1.3119253906,"Transporte Turístico por Tierra"
"4872",-1.5576110444,"Transporte Turístico por Agua"
"4881",-0.088487182,"Servicios Relacionados con el Transporte Aéreo"
"4882",0.7880379015,"Servicios Relacionados con el Transporte por Ferrocarril"
"4883",-0.6984530632,"Servicios Relacionados con el Transporte por Agua"
"4884",-0.6556676373,"Servicios Relacionados con el Transporte por Carretera"
"4885",0.879096664,"Servicios de Intermediación para el Transporte de Carga"
